标题,评分,评分人数,导演,主演,类型,上映日期,片长,剧情简介,海报图片,制片国家/地区,语言,又名,IMDb,豆瓣url,集数
镜中人 Look Away,6.3,13332,阿萨夫·伯恩斯坦,"英迪娅·埃斯利, 詹森·艾萨克, 佩内洛普·米契尔, 米拉·索维诺, 哈里森·吉尔伯特森, 克里斯汀·哈里斯, 亚当·哈蒂格, 康纳·彼得森, 辛蒂·迈斯科",惊悚,2018-10-12(美国),103分钟,"十八岁女孩玛丽亚（英迪娅·埃斯利 饰）经常受到同学欺负，使她变得自卑，害怕。有一天她发现镜子里的另一个她，艾兰。
                                    
                                　　艾兰（英迪娅·埃斯利 饰）既勇敢又无畏，帮助玛丽亚开启了复仇之路......",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2535338885.jpg,美国 / 加拿大,英语,镜中惊魂(台) / Behind the Glass,tt5834760,https://movie.douban.com/subject/26942853/,1
雄狮少年,8.3,510126,孙海鹏,"大昕, 大雄, 郭皓, 李盟, 李佳思, 蔡壮壮, 马语非, 熊陈捷, 巴赫, 大澄子, 付博文, 秋木","剧情, 喜剧, 动画",2021-12-17(中国大陆),104分钟,"阿娟（大昕 配音）的父母在大城市打工养家，他留守在故乡，因为孱弱的体格和怯懦的性格常常遭到旁人的欺负。一次偶然中，阿娟邂逅了和自己同名的舞狮少女（秋木 配音），少女飒爽的英姿和如雷贯耳的话语激起了阿娟对舞狮这项传统活动的兴趣，他打算参加舞狮大赛来证明自己的能力，很快，阿娟的好友阿猫（大雄 配音）和阿狗（郭浩 配音）也加入了这个计划之中。
                                    
                                　　可是，舞狮哪有这么容易学，为了拜师，阿娟一行人找到了开鱼铺的咸鱼强（李盟 配音）。咸鱼强虽然现在活得窝囊，但曾经却是舞狮比赛的冠军，三个少年蓬勃的朝气和真挚的眼神打动了咸鱼强，重新唤醒了他对于舞狮的热爱。",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2702755317.jpg,中国大陆,汉语普通话 / 粤语,I Am What I Am,tt16345484,https://movie.douban.com/subject/35144311/,1
驻院医生 第六季 The Resident Season 6,8.0,276,,马特·朱克瑞,剧情,2022-09-20(美国),42 分钟,FOX宣布续订《驻院医生》第六季。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2876509836.jpg,美国,英语,无,tt20249346,https://movie.douban.com/subject/35910331/,13
骗子 꾼,7.5,47070,张昌原,"玄彬, 刘智泰, 朴成雄, 裴晟祐, 崔德文, 林珍娜, 安世河, 许成泰, 柳圣贤, 崔日华, 金溙勋, 廉东宪, 郑东奎, 崔宏一, 金子英, 周锡泰, 郑敏圣, 韩哲宇, 全宪泰, 李载求, 柳正浩, 孙炳旭, 郑镇荣, 车顺裴, 吴泰景, 陈善圭","剧情, 犯罪",2017-11-22(韩国),117分钟,为了逮捕涉及4万亿韩元、造成3万名受害者的稀世大骗子，诈骗犯（玄彬饰）和检察官展开较量的诈骗犯罪。玄彬将在片中饰演设下完美骗局的诈骗犯黄智成，是一位专挑诈骗犯行骗的天才诈骗犯；刘智泰在片中饰演劣性检察官朴熙洙，为抓住稀世大骗子而制定计划招揽黄智成，表面正义内里却是对权力有无尽欲望的人。电影新颖、烧脑的故事令人耳目一新，而两位演技派演员的互相飙戏也引发众多期待。电影计划于2016年下半年拍摄。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2503067864.jpg,韩国,韩语,骗中骗(港) / 骗徒(台) / 局中局 / Conman / The Swindlers,tt7243686,https://movie.douban.com/subject/26770697/,1
魔兽 Warcraft,7.7,319730,邓肯·琼斯,"崔维斯·费米尔, 托比·凯贝尔, 宝拉·巴顿, 吴彦祖, 本·福斯特, 多米尼克·库珀, 鲁丝·内伽, 克兰西·布朗, 丹尼尔·库德摩尔, 罗伯特·卡辛斯基, 本·施耐泽, 格伦·克洛斯, 考乐姆·吉斯·雷尼, 泰瑞·诺塔里, 瑞安·罗宾斯, 博尔克利·杜菲尔德, 丹·佩恩, 迪伦·肖明, 唐尼·麦克尼尔, 迈克·安东纳科斯, 拉吉·拉尔","动作, 奇幻, 冒险",2016-06-08(中国大陆),124分钟,"这是一个人类和兽人共存，和谐相处，互不侵犯的世界。人类生活在艾泽拉斯大陆中，兽人则在德拉诺劳作繁衍。某日，邪恶的兽人古尔丹（吴彦祖 饰）出现了，它打开了黑暗之门，肆意屠戮手无寸铁的人类，将艾泽拉斯大陆变为了一片地狱的火海。与此同时，曾经与世无争的兽人们如今变得凶猛残暴，他们来到人类的领地，在这里烧杀抢掠，无恶不作。
                                    
                                　　杜隆坦（托比·凯贝尔 Toby Kebbell 饰）是霜狼氏族的酋长，他发现了古尔丹的野心和阴谋，于是带领着自己的部族千里迢迢来到了艾泽拉斯，在此处，人类领袖洛萨（崔维斯·费米尔 Travis Fimmel 饰）亦在寻找结束战争的两全之道。",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2345947329.jpg,美国 / 中国大陆 / 加拿大 / 日本,英语,魔兽争霸：战雄崛起(港) / 魔兽：崛起(台) / 魔兽争霸 / 魔兽世界 / World of Warcraft / Warcraft: The Beginning,tt0803096,https://movie.douban.com/subject/2131940/,1
魔女 마녀,7.7,178451,朴勋政,"金多美, 赵敏修, 朴熹洵, 崔宇植, 高旻示, 吴美姬, 崔政宇, 多恩, 金秉玉, 李柱元, 金河娜, 李基英, 权泰元, 李时勋, 白承哲, 袁民奎, 金宗勋, 徐翰洁","动作, 悬疑",2018-06-27(韩国),125分钟,"数年前，善良的具老师（崔政宇 饰）和夫人（吴美姬 饰）收留了身受重伤无依无靠的少女（金多美 饰）并取名为具子允，之后，失去了之前所有记忆的具子允一直以夫妻两人女儿的身份在家中生活，一家三口之间的感情非常的要好。
                                    
                                　　具夫人随着年龄的增长逐渐患上了老年痴呆症，而治疗这种病需要花费大量的金钱，这是一直在贫困线徘徊的具老师一家人无法承受的。一次偶然中，具子允和好友明熙（高旻示 饰）决定参加当红的选秀节目，最终胜出者能够获得丰厚的奖金。在选拔赛里，具子允用其美妙动人的歌声征服了评委，顺利晋级，与此同时，她也得到了被全国观众看到的机会。哪知道，在吸引全国关注的同时，具子允的过去也找到了她。",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2524056711.jpg,韩国,韩语,魔女首部曲：诞生(台) / 魔女首部曲：毀坏(港) / The Witch : Part 1. The Subversion,tt8574252,https://movie.douban.com/subject/26602900/,1
鲁邦三世TV版系列1 ルパン三世 (TV第1シリーズ),9.2,2797,大隅正秋,"山田康雄, 小林清志, 二阶堂有希子, 大塚周夫, 纳谷悟朗","动画, 奇幻, 冒险",1971-10-24,25分钟,"怪盗鲁邦三世（ルパン三世，Lupin III）与搭档——“酷枪汉”次元大介，“什么东西都要劈两半的危险男人”石川五右卫门，谜一样的美女峰不二子，展开的一系列冒险故事。
                                    
                                　　这是《鲁邦三世》动画系列的第一部，1971-1972年上映。又称《鲁邦三世之绿夹克系列》（因为片中鲁邦三世的正装为绿色外套），原计划拍摄26话，最终完成23话。据说这是第一部面向非青少年观众的动画作品，因为其中出现较多（相对当时的动画作品而言）暴力，欺诈。而藏在这些背后的则是大量令人捧腹的喜剧成分。本作基于Monkey Punch(加藤一彦)的《鲁邦三世》漫画系列，监督大塚康生，并有宫崎骏等多位后来的动漫重量级人物担任制作班底。本作奠定了整个鲁邦动画系列的基调，后来的鲁邦系列作品还多次从本系列中攫取素材。鲁邦从此进军荧屏，并一跃成为日本国民级动画经典，活跃至今。",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p454127163.jpg,日本,法语 / 德语 / 意大利语 / 葡萄牙语 / 西班牙语 / 日语,Lupin the 3rd TV series aka The Green Jacket series,tt0159175,https://movie.douban.com/subject/3183628/,23
黑亚当 Black Adam,5.6,80922,佐米·希尔拉,"道恩·强森, 阿尔迪斯·霍吉, 皮尔斯·布鲁斯南, 莎拉·夏希, 诺亚·琴蒂内奥, 昆泰莎·斯文戴尔, 马尔万·肯扎里, 博德希·萨邦圭, 穆罕默德·阿米尔, 詹姆斯·卡萨蒂-莫耶尔, 哈隆·克里斯蒂安, 本杰明·帕特森, 奥德娅·哈尔维, 乌利·拉图基孚, 詹尼佛·霍兰德, 亨利·温克勒, 哈伊姆·吉拉菲, 杰曼·翰苏, 桑娜·海恩斯, 托内亚·斯图尔特, 帕特里克·萨邦圭, 约瑟夫·盖特, 杰梅因·里弗斯, 里贾纳·陈婷, 卡梅隆·莫伊尔, 德里克·罗素, 小安杰尔·罗萨里奥, 克里斯托弗·马修·库克, 娜塔莉·伯恩, 亨利·卡维尔, 维奥拉·戴维斯, 施奎塔·詹姆斯, 拉希姆·赖利","动作, 科幻, 奇幻, 冒险",2022-10-19(法国),125分钟,"这个世界需要超级英雄…… 黑亚当降临。
                                    
                                　　黑亚当（道恩·强森 饰）被赋予了古代诸神无所不能的力量，但很快就被封印。近五千年后，他终于重见天日，并将在现代世界以独一无二的方式行使正义。",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2879837732.jpg,美国 / 加拿大 / 新西兰 / 匈牙利,英语,霹雳亚当,tt6443346,https://movie.douban.com/subject/26959697/,1
黑色五叶草 ブラッククローバー,8.0,9769,吉原达矢,"梶原岳人, 岛崎信长, 诹访部顺一, 优木加奈, 福山润, 室元气, 村濑步, 日野聪, 水树奈奈, 安野希世乃, 松田健一郎, 森川智之, 小野大辅, 石川界人, 寺岛拓笃, 鸟海浩辅, 小西克幸, 小林优, 浪川大辅, 高桥未奈美, 绿川光, 斋贺光希, 赤坂柾之, 西明日香, 山本匠马, 皆川纯子, 大桥贤一郎, 逢坂良太, 花江夏树, 伊濑茉莉也, 杉田智和, 樱井孝宏, 森田成一, 市道真央, 置鲇龙太郎, 滨野大辉, 高冢正也, 津田美波, 三上哲, 久保田未梦, 咲咲木瞳, 佐仓绫音, 石原夏织, 梅原裕一郎, 堀内贤雄, 草尾毅, 芹泽优, 植田佳奈, 下野纮, 冈本信彦, 小山力也, 小仓唯, 铃木达央, 细谷佳正, 内田彩, 潘惠美, 魏凉子, 森久保祥太郎","动画, 奇幻, 冒险",2017-10-03(日本),24分钟,曾经险些遭到魔神毁灭的世界，拯救它的是一位被后世称为“魔法帝”的魔导士……两位被遗弃在教堂的少年，一位是有卓越魔力跟魔法才能的四叶草魔导书的尤诺，另一位魔法值为零但却意外获得黑色五叶草的魔法书的亚斯塔……这是关于一位没魔法能力的少年却想要成为魔法帝的故事。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2523812364.jpg,日本,日语,黑色四叶草 / Black Clover,tt7441658,https://movie.douban.com/subject/27063402/,170
黑鸟 Black Bird,7.8,19566,迈克尔·R·罗斯卡姆,"塔伦·埃哲顿, 保罗·沃尔特·豪泽, 塞皮德·莫阿菲, 格雷戈·金尼尔, 雷·利奥塔, 罗伯特·迪亚戈·杜奇, 亚历山大·巴巴拉, Cecilia Leal, 劳伦斯·特纳, Rachel Whitman Groves, Trazi Lashawn, 杰克·麦克劳克林, 克里斯托弗·B·邓肯, 布兰顿·莫拉莱斯, 查尔斯·格林, Kwajalyn Brown, 罗宾·马尔科姆, 库伦·莫斯, 詹姆斯·杜蒙特, 罗伯特·沃克·布兰乔德, 乔·威廉森, 迈克尔·艾伦·米利甘, T·C·马特恩, 安东尼·迈克尔·弗雷德里克, Holly Bonney, John Jabaley","剧情, 犯罪",2022-07-08(美国),60分钟,詹姆斯·基内（塔伦·埃哲顿 饰）出生在芝加哥，是一名警察的儿子。他曾是一名出色的橄榄球球手，并朝着职业道路发展。而他犯的错使他被判10年监禁，无假释机会。检察官给他一个将功补过的机会，但风险很高。有一个叫拉里·霍尔（保罗·沃尔特·豪泽 饰）的人绑架和谋杀了一个15岁女孩，而这个女孩仅仅是他过往杀害的19名女性之一，由于证据不足，霍尔或将被释放，基内的任务就是在狱中让霍尔承认他的谋杀行为。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2874949721.jpg,美国,英语,暗黑信使(港) / 与魔鬼同行 / In with the Devil / The Falcon's Tale,tt4301160,https://movie.douban.com/subject/35342065/,6
镖人,8.4,21427,史涓生,"刘北辰, 万茜, 宴宁, 赵乾景, 黄进泽, 吴磊, 黄翔宇, 张坤, 王肖兵, 李蝉妃","动作, 动画, 武侠",2023-06-01(中国大陆),20分钟,"公元607年，当朝皇帝残暴无道、民不聊生，正值最黑暗的时代。
                                    
                                　　身手不凡的镖客刀马行走于西域大漠，在躲避朝廷追杀的途中，他接下了一个目的地为长安的护送任务，本以为只是一趟简单的护镖，却没想到一路危机起伏，险象环生。",https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616534581.jpg,中国大陆,汉语普通话 Mandarin,镖人 · 大漠篇 / 镖人 第一季,tt28259824,https://movie.douban.com/subject/30232254/,15
